ckpt,acc,prec,recall,f1
ckpt-290-0.64932,97.7975105665206,90.77345223803808,89.13775682047827,89.94816891834482
ckpt-295-0.64072,97.74128504401101,90.24598565083704,88.96934994947794,89.60312075983717
ckpt-300-0.64602,97.77230602194734,90.6025333789798,89.13775682047827,89.86417657045841
ckpt-305-0.63552,97.75097909961613,90.42080054738285,89.01987201077804,89.71486761710794
ckpt-310-0.64950,97.7606731552212,90.49657534246576,89.003031323678,89.74358974358975
ckpt-315-0.63421,97.78006126643145,90.55603079555176,89.13775682047827,89.84129678350166
ckpt-320-0.63643,97.73352979952692,90.26306798770071,88.98619063657797,89.6200814111262
ckpt-325-0.63510,97.75097909961613,90.3931623931624,89.05355338497812,89.71835765184933
ckpt-330-0.65111,97.78393888867346,90.649083747217,89.13775682047827,89.88706801392544
ckpt-335-0.65187,97.76648958858429,90.5169462512838,89.05355338497812,89.77928692699491
ckpt-340-0.63409,97.7975105665206,90.63676823005821,89.17143819467834,89.8981324278438
ckpt-345-0.64343,97.78587769979448,90.61804485533301,89.13775682047827,89.87180575600645
ckpt-350-0.63449,97.75679553297918,90.48596851471596,89.05355338497812,89.76404685112884
ckpt-355-0.62983,97.81108224436777,90.84048027444254,89.18827888177837,90.00679809653299
ckpt-360-0.64774,97.76261196634223,90.5356837241143,89.08723475917819,89.80561921738392
ckpt-365-0.63094,97.76648958858429,90.48759623609924,89.07039407207813,89.77340235933123
ckpt-370-0.62671,97.78393888867346,90.60414170802669,89.1545975075783,89.8735251676428
ckpt-375-0.63386,97.75097909961613,90.33139733515543,89.05355338497812,89.68792401628221
ckpt-380-0.64806,97.7781224553104,90.61643835616438,89.12091613337824,89.86245542536932
ckpt-385-0.64619,97.79557175539959,90.63676823005821,89.17143819467834,89.8981324278438
ckpt-390-0.65208,97.7878165109155,90.60414170802669,89.1545975075783,89.8735251676428
ckpt-395-0.63028,97.78200007755244,90.58541595344059,89.12091613337824,89.84719864176571
ckpt-400-0.65290,97.78393888867346,90.649083747217,89.13775682047827,89.88706801392544
ckpt-405-0.64162,97.78006126643143,90.58541595344059,89.12091613337824,89.84719864176571
ckpt-410-0.65603,97.77036721082632,90.5682985279014,89.10407544627822,89.830220713073
ckpt-415-0.64845,97.7781224553104,90.6319575269738,89.12091613337824,89.8700857603804
ckpt-420-0.63730,97.79557175539959,90.67100308113659,89.20511956887842,89.93208828522921
ckpt-425-0.63072,97.7684283997053,90.56668378702277,89.08723475917819,89.82086764581034
ckpt-430-0.64053,97.78200007755244,90.58702721204858,89.13775682047827,89.85654868007809
ckpt-435-0.65570,97.78393888867346,90.65068493150686,89.1545975075783,89.89641704873492
ckpt-440-0.63661,97.79557175539959,90.73471484843296,89.22196025597843,89.97197928165069
ckpt-445-0.65084,97.7878165109155,90.68652627974663,89.20511956887842,89.93972323626792
ckpt-450-0.63636,97.78200007755244,90.61965080451901,89.1545975075783,89.88115449915111
ckpt-455-0.63229,97.76455077746327,90.51856922813623,89.07039407207813,89.7886427298192
ckpt-460-0.64168,97.77230602194734,90.5699127160705,89.12091613337824,89.83957219251337
ckpt-465-0.62885,97.78200007755244,90.61965080451901,89.1545975075783,89.88115449915111
ckpt-470-0.64240,97.78393888867346,90.66780821917808,89.17143819467834,89.91339786041773
ckpt-475-0.65196,97.78393888867346,90.63676823005821,89.17143819467834,89.8981324278438
ckpt-480-0.63581,97.78975532203651,90.67100308113659,89.20511956887842,89.93208828522921
ckpt-485-0.62896,97.79169413315756,90.68652627974663,89.20511956887842,89.93972323626792
ckpt-490-0.63850,97.7878165109155,90.6538856555974,89.18827888177837,89.9151103565365
